"table","relation_count","related_facts","fill","stroke","type"
"assignment_group_dim",11,"module_item_fact,assignment_override_user_rollup_fact,submission_fact,assignment_fact,assignment_group_fact,module_progression_completion_requirement_fact,assignment_override_fact,assignment_group_score_fact,module_completion_requirement_fact,assignment_override_user_fact,file_fact","#d5e8d4","#6c8ebf","dimension"
"module_item_fact",0,"","#dae8fc","#6c8ebf","fact"
"assignment_override_user_rollup_fact",0,"","#dae8fc","#6c8ebf","fact"
"submission_fact",0,"","#dae8fc","#6c8ebf","fact"
"assignment_fact",0,"","#dae8fc","#6c8ebf","fact"
"assignment_group_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_progression_completion_requirement_fact",0,"","#dae8fc","#6c8ebf","fact"
"assignment_override_fact",0,"","#dae8fc","#6c8ebf","fact"
"assignment_group_score_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_completion_requirement_fact",0,"","#dae8fc","#6c8ebf","fact"
"assignment_override_user_fact",0,"","#dae8fc","#6c8ebf","fact"
"file_fact",0,"","#dae8fc","#6c8ebf","fact"
