"table","relation_count","related_facts"
"catalog_dim",11,"catalog_order_fact,catalog_order_fact,catalog_order_item_fact,catalog_order_item_fact,catalog_payment_fact,catalog_payment_fact,catalog_product_fact,catalog_product_fact,catalog_program_requirement_fact,catalog_promotion_fact,catalog_promotion_fact"
"catalog_order_fact",0,""
"catalog_order_fact",0,""
"catalog_order_item_fact",0,""
"catalog_order_item_fact",0,""
"catalog_payment_fact",0,""
"catalog_payment_fact",0,""
"catalog_product_fact",0,""
"catalog_product_fact",0,""
"catalog_program_requirement_fact",0,""
"catalog_promotion_fact",0,""
"catalog_promotion_fact",0,""
