"table","relation_count","related_facts","fill","stroke","type"
"course_dim",46,"course_ui_navigation_item_fact,module_item_fact,submission_comment_fact,catalog_product_fact,module_progression_completion_requirement_fact,assignment_group_score_fact,group_membership_fact,wiki_fact,learning_outcome_fact,submission_fact,discussion_topic_fact,submission_file_fact,quiz_question_fact,learning_outcome_result_fact,grading_period_score_fact,assignment_fact,learning_outcome_rubric_criterion_fact,module_prerequisite_fact,assignment_group_fact,quiz_fact,learning_outcome_question_result_fact,requests,assignment_override_fact,grading_period_fact,wiki_page_fact,learning_outcome_group_association_fact,conference_participant_fact,enrollment_fact,quiz_question_group_fact,external_tool_activation_fact,assignment_override_user_rollup_fact,module_fact,module_progression_fact,course_score_fact,conversation_message_participant_fact,quiz_submission_fact,group_fact,discussion_entry_fact,assignment_override_user_fact,learning_outcome_group_fact,catalog_program_requirement_fact,quiz_question_answer_fact,module_completion_requirement_fact,conference_fact,file_fact,quiz_submission_historical_fact","#d5e8d4","#6c8ebf","dimension"
"course_ui_navigation_item_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_item_fact",0,"","#dae8fc","#6c8ebf","fact"
"submission_comment_fact",0,"","#dae8fc","#6c8ebf","fact"
"catalog_product_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_progression_completion_requirement_fact",0,"","#dae8fc","#6c8ebf","fact"
"assignment_group_score_fact",0,"","#dae8fc","#6c8ebf","fact"
"group_membership_fact",0,"","#dae8fc","#6c8ebf","fact"
"wiki_fact",0,"","#dae8fc","#6c8ebf","fact"
"learning_outcome_fact",0,"","#dae8fc","#6c8ebf","fact"
"submission_fact",0,"","#dae8fc","#6c8ebf","fact"
"discussion_topic_fact",0,"","#dae8fc","#6c8ebf","fact"
"submission_file_fact",0,"","#dae8fc","#6c8ebf","fact"
"quiz_question_fact",0,"","#dae8fc","#6c8ebf","fact"
"learning_outcome_result_fact",0,"","#dae8fc","#6c8ebf","fact"
"grading_period_score_fact",0,"","#dae8fc","#6c8ebf","fact"
"assignment_fact",0,"","#dae8fc","#6c8ebf","fact"
"learning_outcome_rubric_criterion_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_prerequisite_fact",0,"","#dae8fc","#6c8ebf","fact"
"assignment_group_fact",0,"","#dae8fc","#6c8ebf","fact"
"quiz_fact",0,"","#dae8fc","#6c8ebf","fact"
"learning_outcome_question_result_fact",0,"","#dae8fc","#6c8ebf","fact"
"requests",0,"","#dae8fc","#6c8ebf","fact"
"assignment_override_fact",0,"","#dae8fc","#6c8ebf","fact"
"grading_period_fact",0,"","#dae8fc","#6c8ebf","fact"
"wiki_page_fact",0,"","#dae8fc","#6c8ebf","fact"
"learning_outcome_group_association_fact",0,"","#dae8fc","#6c8ebf","fact"
"conference_participant_fact",0,"","#dae8fc","#6c8ebf","fact"
"enrollment_fact",0,"","#dae8fc","#6c8ebf","fact"
"quiz_question_group_fact",0,"","#dae8fc","#6c8ebf","fact"
"external_tool_activation_fact",0,"","#dae8fc","#6c8ebf","fact"
"assignment_override_user_rollup_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_progression_fact",0,"","#dae8fc","#6c8ebf","fact"
"course_score_fact",0,"","#dae8fc","#6c8ebf","fact"
"conversation_message_participant_fact",0,"","#dae8fc","#6c8ebf","fact"
"quiz_submission_fact",0,"","#dae8fc","#6c8ebf","fact"
"group_fact",0,"","#dae8fc","#6c8ebf","fact"
"discussion_entry_fact",0,"","#dae8fc","#6c8ebf","fact"
"assignment_override_user_fact",0,"","#dae8fc","#6c8ebf","fact"
"learning_outcome_group_fact",0,"","#dae8fc","#6c8ebf","fact"
"catalog_program_requirement_fact",0,"","#dae8fc","#6c8ebf","fact"
"quiz_question_answer_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_completion_requirement_fact",0,"","#dae8fc","#6c8ebf","fact"
"conference_fact",0,"","#dae8fc","#6c8ebf","fact"
"file_fact",0,"","#dae8fc","#6c8ebf","fact"
"quiz_submission_historical_fact",0,"","#dae8fc","#6c8ebf","fact"
