"table","relation_count","related_facts","fill","stroke","type"
"enrollment_rollup_dim",10,"file_fact,quiz_submission_fact,conversation_message_participant_fact,quiz_submission_historical_fact,module_completion_requirement_fact,discussion_entry_fact,module_item_fact,discussion_topic_fact,module_progression_completion_requirement_fact,submission_fact","#d5e8d4","#6c8ebf","dimension"
"file_fact",0,"","#dae8fc","#6c8ebf","fact"
"quiz_submission_fact",0,"","#dae8fc","#6c8ebf","fact"
"conversation_message_participant_fact",0,"","#dae8fc","#6c8ebf","fact"
"quiz_submission_historical_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_completion_requirement_fact",0,"","#dae8fc","#6c8ebf","fact"
"discussion_entry_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_item_fact",0,"","#dae8fc","#6c8ebf","fact"
"discussion_topic_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_progression_completion_requirement_fact",0,"","#dae8fc","#6c8ebf","fact"
"submission_fact",0,"","#dae8fc","#6c8ebf","fact"
