"table","relation_count","related_facts","fill","stroke","type"
"group_dim",13,"file_fact,assignment_override_user_rollup_fact,conversation_message_participant_fact,conference_fact,group_fact,wiki_page_fact,conference_participant_fact,discussion_topic_fact,wiki_fact,assignment_override_fact,submission_fact,learning_outcome_group_fact,group_membership_fact","#d5e8d4","#6c8ebf","dimension"
"file_fact",0,"","#dae8fc","#6c8ebf","fact"
"assignment_override_user_rollup_fact",0,"","#dae8fc","#6c8ebf","fact"
"conversation_message_participant_fact",0,"","#dae8fc","#6c8ebf","fact"
"conference_fact",0,"","#dae8fc","#6c8ebf","fact"
"group_fact",0,"","#dae8fc","#6c8ebf","fact"
"wiki_page_fact",0,"","#dae8fc","#6c8ebf","fact"
"conference_participant_fact",0,"","#dae8fc","#6c8ebf","fact"
"discussion_topic_fact",0,"","#dae8fc","#6c8ebf","fact"
"wiki_fact",0,"","#dae8fc","#6c8ebf","fact"
"assignment_override_fact",0,"","#dae8fc","#6c8ebf","fact"
"submission_fact",0,"","#dae8fc","#6c8ebf","fact"
"learning_outcome_group_fact",0,"","#dae8fc","#6c8ebf","fact"
"group_membership_fact",0,"","#dae8fc","#6c8ebf","fact"
