"table","relation_count","related_facts","fill","stroke","type"
"user_dim",25,"submission_file_fact,communication_channel_fact,module_completion_requirement_fact,discussion_entry_fact,conference_participant_fact,catalog_order_fact,module_progression_fact,requests,assignment_override_user_fact,submission_comment_fact,group_membership_fact,assignment_override_user_rollup_fact,learning_outcome_result_fact,module_item_fact,enrollment_fact,submission_fact,file_fact,quiz_submission_historical_fact,wiki_page_fact,module_progression_completion_requirement_fact,quiz_submission_fact,conversation_message_participant_fact,pseudonym_fact,discussion_topic_fact,learning_outcome_question_result_fact","#d5e8d4","#6c8ebf","dimension"
"submission_file_fact",0,"","#dae8fc","#6c8ebf","fact"
"communication_channel_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_completion_requirement_fact",0,"","#dae8fc","#6c8ebf","fact"
"discussion_entry_fact",0,"","#dae8fc","#6c8ebf","fact"
"conference_participant_fact",0,"","#dae8fc","#6c8ebf","fact"
"catalog_order_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_progression_fact",0,"","#dae8fc","#6c8ebf","fact"
"requests",0,"","#dae8fc","#6c8ebf","fact"
"assignment_override_user_fact",0,"","#dae8fc","#6c8ebf","fact"
"submission_comment_fact",0,"","#dae8fc","#6c8ebf","fact"
"group_membership_fact",0,"","#dae8fc","#6c8ebf","fact"
"assignment_override_user_rollup_fact",0,"","#dae8fc","#6c8ebf","fact"
"learning_outcome_result_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_item_fact",0,"","#dae8fc","#6c8ebf","fact"
"enrollment_fact",0,"","#dae8fc","#6c8ebf","fact"
"submission_fact",0,"","#dae8fc","#6c8ebf","fact"
"file_fact",0,"","#dae8fc","#6c8ebf","fact"
"quiz_submission_historical_fact",0,"","#dae8fc","#6c8ebf","fact"
"wiki_page_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_progression_completion_requirement_fact",0,"","#dae8fc","#6c8ebf","fact"
"quiz_submission_fact",0,"","#dae8fc","#6c8ebf","fact"
"conversation_message_participant_fact",0,"","#dae8fc","#6c8ebf","fact"
"pseudonym_fact",0,"","#dae8fc","#6c8ebf","fact"
"discussion_topic_fact",0,"","#dae8fc","#6c8ebf","fact"
"learning_outcome_question_result_fact",0,"","#dae8fc","#6c8ebf","fact"
