"table","relation_count","related_facts","fill","stroke","type"
"wiki_dim",13,"module_item_fact,assignment_override_user_rollup_fact,module_fact,submission_fact,module_prerequisite_fact,module_progression_fact,group_fact,module_progression_completion_requirement_fact,assignment_override_fact,module_completion_requirement_fact,wiki_page_fact,wiki_fact,file_fact","#d5e8d4","#6c8ebf","dimension"
"module_item_fact",0,"","#dae8fc","#6c8ebf","fact"
"assignment_override_user_rollup_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_fact",0,"","#dae8fc","#6c8ebf","fact"
"submission_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_prerequisite_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_progression_fact",0,"","#dae8fc","#6c8ebf","fact"
"group_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_progression_completion_requirement_fact",0,"","#dae8fc","#6c8ebf","fact"
"assignment_override_fact",0,"","#dae8fc","#6c8ebf","fact"
"module_completion_requirement_fact",0,"","#dae8fc","#6c8ebf","fact"
"wiki_page_fact",0,"","#dae8fc","#6c8ebf","fact"
"wiki_fact",0,"","#dae8fc","#6c8ebf","fact"
"file_fact",0,"","#dae8fc","#6c8ebf","fact"
