"table","relation_count","related_facts","fill","stroke","type"
"assignment_override_user_rollup_fact",15,"assignment_dim,assignment_override_dim,assignment_override_user_dim,assignment_group_dim,course_dim,account_dim,course_section_dim,enrollment_dim,enrollment_term_dim,group_dim,account_dim,wiki_dim,course_dim,quiz_dim,user_dim","#dae8fc","#6c8ebf","fact"
"assignment_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"assignment_override_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"assignment_override_user_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"assignment_group_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"course_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"account_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"course_section_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"enrollment_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"enrollment_term_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"group_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"account_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"wiki_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"course_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"quiz_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"user_dim",0,"","#d5e8d4","#6c8ebf","dimension"
