"table","relation_count","related_facts","fill","stroke","type"
"conversation_message_participant_fact",9,"conversation_message_dim,conversation_dim,user_dim,course_dim,enrollment_term_dim,account_dim,group_dim,account_dim,enrollment_rollup_dim","#dae8fc","#6c8ebf","fact"
"conversation_message_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"conversation_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"user_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"course_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"enrollment_term_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"account_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"group_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"account_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"enrollment_rollup_dim",0,"","#d5e8d4","#6c8ebf","dimension"
