"table","relation_count","related_facts","fill","stroke","type"
"discussion_topic_fact",12,"discussion_topic_dim,course_dim,enrollment_term_dim,account_dim,user_dim,assignment_dim,user_dim,enrollment_rollup_dim,group_dim,course_dim,account_dim,account_dim","#dae8fc","#6c8ebf","fact"
"discussion_topic_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"course_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"enrollment_term_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"account_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"user_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"assignment_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"user_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"enrollment_rollup_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"group_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"course_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"account_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"account_dim",0,"","#d5e8d4","#6c8ebf","dimension"
