"table","relation_count","related_facts","fill","stroke","type"
"file_fact",21,"file_dim,account_dim,assignment_dim,assignment_group_dim,conversation_dim,user_dim,conversation_message_dim,course_dim,enrollment_rollup_dim,enrollment_term_dim,file_dim,user_dim,group_dim,quiz_dim,quiz_submission_dim,file_dim,file_dim,submission_dim,user_dim,user_dim,wiki_dim","#dae8fc","#6c8ebf","fact"
"file_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"account_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"assignment_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"assignment_group_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"conversation_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"user_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"conversation_message_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"course_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"enrollment_rollup_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"enrollment_term_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"file_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"user_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"group_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"quiz_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"quiz_submission_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"file_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"file_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"submission_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"user_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"user_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"wiki_dim",0,"","#d5e8d4","#6c8ebf","dimension"
