"table","relation_count","related_facts","fill","stroke","type"
"learning_outcome_question_result_fact",9,"learning_outcome_question_result_dim,learning_outcome_result_dim,learning_outcome_dim,user_dim,account_dim,course_dim,enrollment_term_dim,assignment_dim,quiz_dim","#dae8fc","#6c8ebf","fact"
"learning_outcome_question_result_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"learning_outcome_result_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"learning_outcome_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"user_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"account_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"course_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"enrollment_term_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"assignment_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"quiz_dim",0,"","#d5e8d4","#6c8ebf","dimension"
