"table","relation_count","related_facts","fill","stroke","type"
"module_completion_requirement_fact",16,"module_completion_requirement_dim,account_dim,assignment_dim,assignment_group_dim,course_dim,discussion_topic_dim,user_dim,enrollment_rollup_dim,enrollment_term_dim,file_dim,module_dim,module_item_dim,quiz_dim,user_dim,wiki_dim,wiki_page_dim","#dae8fc","#6c8ebf","fact"
"module_completion_requirement_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"account_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"assignment_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"assignment_group_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"course_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"discussion_topic_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"user_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"enrollment_rollup_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"enrollment_term_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"file_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"module_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"module_item_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"quiz_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"user_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"wiki_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"wiki_page_dim",0,"","#d5e8d4","#6c8ebf","dimension"
