"table","relation_count","related_facts","fill","stroke","type"
"wiki_page_fact",10,"wiki_page_dim,wiki_dim,course_dim,group_dim,account_dim,account_dim,user_dim,account_dim,account_dim,enrollment_term_dim","#dae8fc","#6c8ebf","fact"
"wiki_page_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"wiki_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"course_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"group_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"account_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"account_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"user_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"account_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"account_dim",0,"","#d5e8d4","#6c8ebf","dimension"
"enrollment_term_dim",0,"","#d5e8d4","#6c8ebf","dimension"
