"table","relation_count","related_facts"
"assignment_dim",22,"assignment_fact,assignment_override_fact,assignment_override_user_fact,assignment_override_user_rollup_fact,discussion_entry_fact,discussion_topic_fact,file_fact,learning_outcome_question_result_fact,learning_outcome_result_fact,module_completion_requirement_fact,module_item_fact,module_progression_completion_requirement_fact,quiz_fact,quiz_question_answer_fact,quiz_question_fact,quiz_question_group_fact,quiz_submission_fact,quiz_submission_historical_fact,submission_comment_fact,submission_fact,submission_file_fact,requests"
"assignment_fact",107,"assignment_dim,course_dim,account_dim,enrollment_term_dim,assignment_group_dim,external_tool_activation_dim"
"assignment_override_fact",148,"account_dim,assignment_dim,assignment_group_dim,course_dim,course_section_dim,enrollment_term_dim,group_dim,account_dim,course_dim,quiz_dim,wiki_dim"
"assignment_override_user_fact",125,"assignment_override_user_dim,account_dim,assignment_group_dim,assignment_dim,course_dim,enrollment_term_dim,quiz_dim,user_dim"
"assignment_override_user_rollup_fact",225,"assignment_dim,assignment_override_dim,assignment_override_user_dim,assignment_group_dim,course_dim,account_dim,course_section_dim,enrollment_dim,enrollment_term_dim,group_dim,account_dim,wiki_dim,course_dim,quiz_dim,user_dim"
"discussion_entry_fact",169,"discussion_entry_dim,discussion_entry_dim,user_dim,discussion_topic_dim,course_dim,enrollment_term_dim,account_dim,user_dim,assignment_dim,user_dim,enrollment_rollup_dim"
"discussion_topic_fact",163,"discussion_topic_dim,course_dim,enrollment_term_dim,account_dim,user_dim,assignment_dim,user_dim,enrollment_rollup_dim,group_dim,course_dim,account_dim,account_dim"
"file_fact",277,"file_dim,account_dim,assignment_dim,assignment_group_dim,conversation_dim,user_dim,conversation_message_dim,course_dim,enrollment_rollup_dim,enrollment_term_dim,file_dim,user_dim,group_dim,quiz_dim,quiz_submission_dim,file_dim,file_dim,submission_dim,user_dim,user_dim,wiki_dim"
"learning_outcome_question_result_fact",161,"learning_outcome_question_result_dim,learning_outcome_result_dim,learning_outcome_dim,user_dim,account_dim,course_dim,enrollment_term_dim,assignment_dim,quiz_dim"
"learning_outcome_result_fact",124,"learning_outcome_result_dim,account_dim,course_dim,enrollment_term_dim,assignment_dim,quiz_dim,learning_outcome_dim,user_dim"
"module_completion_requirement_fact",241,"module_completion_requirement_dim,account_dim,assignment_dim,assignment_group_dim,course_dim,discussion_topic_dim,user_dim,enrollment_rollup_dim,enrollment_term_dim,file_dim,module_dim,module_item_dim,quiz_dim,user_dim,wiki_dim,wiki_page_dim"
"module_item_fact",207,"module_item_dim,account_dim,assignment_dim,assignment_group_dim,course_dim,discussion_topic_dim,user_dim,enrollment_rollup_dim,enrollment_term_dim,file_dim,module_dim,quiz_dim,user_dim,wiki_dim,wiki_page_dim"
"module_progression_completion_requirement_fact",276,"module_progression_completion_requirement_dim,account_dim,assignment_dim,assignment_group_dim,course_dim,discussion_topic_dim,user_dim,enrollment_rollup_dim,enrollment_term_dim,file_dim,module_dim,module_item_dim,module_progression_dim,quiz_dim,user_dim,wiki_dim,wiki_page_dim"
"quiz_fact",66,"quiz_dim,course_dim,assignment_dim,account_dim,enrollment_term_dim"
"quiz_question_answer_fact",127,"quiz_question_answer_dim,quiz_question_dim,quiz_question_dim,quiz_dim,course_dim,assignment_dim,account_dim,enrollment_term_dim"
"quiz_question_fact",108,"quiz_question_dim,quiz_dim,quiz_question_group_dim,course_dim,assignment_dim,account_dim,enrollment_term_dim"
"quiz_question_group_fact",90,"quiz_question_group_dim,quiz_dim,course_dim,assignment_dim,account_dim,enrollment_term_dim"
"quiz_submission_fact",132,"course_dim,enrollment_term_dim,account_dim,quiz_dim,assignment_dim,user_dim,submission_dim,enrollment_rollup_dim,quiz_submission_dim"
"quiz_submission_historical_fact",143,"course_dim,enrollment_term_dim,account_dim,quiz_dim,assignment_dim,user_dim,submission_dim,enrollment_rollup_dim,quiz_submission_historical_dim"
"submission_comment_fact",113,"submission_comment_dim,submission_dim,user_dim,user_dim,assignment_dim,course_dim,enrollment_term_dim,account_dim"
"submission_fact",193,"submission_dim,assignment_dim,course_dim,enrollment_term_dim,user_dim,user_dim,account_dim,enrollment_rollup_dim,account_dim,assignment_group_dim,group_dim,quiz_dim,quiz_submission_dim,wiki_dim"
"submission_file_fact",87,"file_dim,submission_dim,assignment_dim,user_dim,user_dim,course_dim,enrollment_term_dim"
"requests",102,"user_dim,course_dim,account_dim,quiz_dim,discussion_topic_dim,conversation_dim,assignment_dim,user_dim"
"course_dim",49,"assignment_fact,assignment_group_fact,assignment_group_score_fact,assignment_override_fact,assignment_override_fact,assignment_override_user_fact,assignment_override_user_rollup_fact,assignment_override_user_rollup_fact,catalog_product_fact,catalog_program_requirement_fact,conference_fact,conference_participant_fact,conversation_message_participant_fact,course_score_fact,course_ui_navigation_item_fact,discussion_entry_fact,discussion_topic_fact,discussion_topic_fact,enrollment_fact,external_tool_activation_fact,file_fact,grading_period_fact,grading_period_score_fact,group_fact,group_membership_fact,learning_outcome_fact,learning_outcome_group_association_fact,learning_outcome_group_fact,learning_outcome_question_result_fact,learning_outcome_result_fact,learning_outcome_rubric_criterion_fact,module_completion_requirement_fact,module_fact,module_item_fact,module_prerequisite_fact,module_progression_completion_requirement_fact,module_progression_fact,quiz_fact,quiz_question_answer_fact,quiz_question_fact,quiz_question_group_fact,quiz_submission_fact,quiz_submission_historical_fact,submission_comment_fact,submission_fact,submission_file_fact,wiki_fact,wiki_page_fact,requests"
"assignment_group_fact",31,"assignment_group_dim,course_dim"
"assignment_group_score_fact",58,"account_dim,course_dim,assignment_group_dim,enrollment_dim"
"catalog_product_fact",74,"catalog_product_dim,catalog_dim,catalog_dim,course_dim,enrollment_term_dim"
"catalog_program_requirement_fact",62,"catalog_dim,catalog_product_dim,catalog_product_dim,course_dim"
"conference_fact",47,"conference_dim,group_dim,course_dim,account_dim"
"conference_participant_fact",83,"conference_participant_dim,group_dim,course_dim,account_dim,user_dim,conference_dim"
"conversation_message_participant_fact",137,"conversation_message_dim,conversation_dim,user_dim,course_dim,enrollment_term_dim,account_dim,group_dim,account_dim,enrollment_rollup_dim"
"course_score_fact",37,"account_dim,course_dim,enrollment_dim"
"course_ui_navigation_item_fact",145,"account_dim,course_ui_navigation_item_dim,course_ui_canvas_navigation_dim,external_tool_activation_dim,course_dim,account_dim,enrollment_term_dim"
"enrollment_fact",85,"enrollment_dim,user_dim,course_dim,enrollment_term_dim,account_dim,course_section_dim"
"external_tool_activation_fact",95,"external_tool_activation_dim,course_dim,account_dim,account_dim,enrollment_term_dim,account_dim"
"grading_period_fact",47,"grading_period_group_dim,account_dim,course_dim"
"grading_period_score_fact",56,"account_dim,course_dim,enrollment_dim,grading_period_dim"
"group_fact",85,"group_dim,course_dim,account_dim,account_dim,enrollment_term_dim,account_dim,wiki_dim"
"group_membership_fact",94,"group_dim,course_dim,account_dim,account_dim,enrollment_term_dim,user_dim,group_membership_dim"
"learning_outcome_fact",42,"account_dim,course_dim,enrollment_term_dim"
