"table","relation_count","related_facts"
"assignment_group_dim",11,"assignment_fact,assignment_group_fact,assignment_group_score_fact,assignment_override_fact,assignment_override_user_fact,assignment_override_user_rollup_fact,file_fact,module_completion_requirement_fact,module_item_fact,module_progression_completion_requirement_fact,submission_fact"
"assignment_fact",0,""
"assignment_group_fact",0,""
"assignment_group_score_fact",0,""
"assignment_override_fact",0,""
"assignment_override_user_fact",0,""
"assignment_override_user_rollup_fact",0,""
"file_fact",0,""
"module_completion_requirement_fact",0,""
"module_item_fact",0,""
"module_progression_completion_requirement_fact",0,""
"submission_fact",0,""
