"table","relation_count","related_facts"
"group_dim",14,"assignment_override_fact,assignment_override_user_rollup_fact,conference_fact,conference_participant_fact,conversation_message_participant_fact,discussion_topic_fact,file_fact,group_fact,group_membership_fact,learning_outcome_group_fact,learning_outcome_group_fact,submission_fact,wiki_fact,wiki_page_fact"
"assignment_override_fact",0,""
"assignment_override_user_rollup_fact",0,""
"conference_fact",0,""
"conference_participant_fact",0,""
"conversation_message_participant_fact",0,""
"discussion_topic_fact",0,""
"file_fact",0,""
"group_fact",0,""
"group_membership_fact",0,""
"learning_outcome_group_fact",0,""
"learning_outcome_group_fact",0,""
"submission_fact",0,""
"wiki_fact",0,""
"wiki_page_fact",0,""
