"table","relation_count","related_facts","fill","stroke","type","table_description"
"user_dim",25,"catalog_order_fact,enrollment_fact,pseudonym_fact,wiki_page_fact,file_fact,assignment_override_user_fact,quiz_submission_fact,assignment_override_user_rollup_fact,learning_outcome_question_result_fact,conversation_message_participant_fact,quiz_submission_historical_fact,module_progression_fact,conference_participant_fact,discussion_entry_fact,submission_file_fact,submission_fact,discussion_topic_fact,submission_comment_fact,module_progression_completion_requirement_fact,learning_outcome_result_fact,module_completion_requirement_fact,requests,module_item_fact,communication_channel_fact,group_membership_fact","#d5e8d4","#6c8ebf","dimension","Attributes for users"
"catalog_order_fact",0,"","#dae8fc","#6c8ebf","fact","Measures for catalog order items"
"enrollment_fact",0,"","#dae8fc","#6c8ebf","fact","Measures for enrollments"
"pseudonym_fact",0,"","#dae8fc","#6c8ebf","fact",""
"wiki_page_fact",0,"","#dae8fc","#6c8ebf","fact","Measures for wiki pages."
"file_fact",0,"","#dae8fc","#6c8ebf","fact","Measures for files."
"assignment_override_user_fact",0,"","#dae8fc","#6c8ebf","fact",""
"quiz_submission_fact",0,"","#dae8fc","#6c8ebf","fact",""
"assignment_override_user_rollup_fact",0,"","#dae8fc","#6c8ebf","fact",""
"learning_outcome_question_result_fact",0,"","#dae8fc","#6c8ebf","fact",""
"conversation_message_participant_fact",0,"","#dae8fc","#6c8ebf","fact",""
"quiz_submission_historical_fact",0,"","#dae8fc","#6c8ebf","fact",""
"module_progression_fact",0,"","#dae8fc","#6c8ebf","fact",""
"conference_participant_fact",0,"","#dae8fc","#6c8ebf","fact",""
"discussion_entry_fact",0,"","#dae8fc","#6c8ebf","fact",""
"submission_file_fact",0,"","#dae8fc","#6c8ebf","fact",""
"submission_fact",0,"","#dae8fc","#6c8ebf","fact",""
"discussion_topic_fact",0,"","#dae8fc","#6c8ebf","fact",""
"submission_comment_fact",0,"","#dae8fc","#6c8ebf","fact",""
"module_progression_completion_requirement_fact",0,"","#dae8fc","#6c8ebf","fact",""
"learning_outcome_result_fact",0,"","#dae8fc","#6c8ebf","fact",""
"module_completion_requirement_fact",0,"","#dae8fc","#6c8ebf","fact",""
"requests",0,"","#dae8fc","#6c8ebf","fact",""
"module_item_fact",0,"","#dae8fc","#6c8ebf","fact",""
"communication_channel_fact",0,"","#dae8fc","#6c8ebf","fact",""
"group_membership_fact",0,"","#dae8fc","#6c8ebf","fact",""
