"table","relation_count","related_facts"
"wiki_dim",14,"assignment_override_fact,assignment_override_user_rollup_fact,file_fact,group_fact,module_completion_requirement_fact,module_fact,module_item_fact,module_prerequisite_fact,module_prerequisite_fact,module_progression_completion_requirement_fact,module_progression_fact,submission_fact,wiki_fact,wiki_page_fact"
"assignment_override_fact",0,""
"assignment_override_user_rollup_fact",0,""
"file_fact",0,""
"group_fact",0,""
"module_completion_requirement_fact",0,""
"module_fact",0,""
"module_item_fact",0,""
"module_prerequisite_fact",0,""
"module_prerequisite_fact",0,""
"module_progression_completion_requirement_fact",0,""
"module_progression_fact",0,""
"submission_fact",0,""
"wiki_fact",0,""
"wiki_page_fact",0,""
