"table","relation_count","related_facts"
"assignment_override_user_rollup_fact",15,"assignment_dim,assignment_override_dim,assignment_override_user_dim,assignment_group_dim,course_dim,account_dim,course_section_dim,enrollment_dim,enrollment_term_dim,group_dim,account_dim,wiki_dim,course_dim,quiz_dim,user_dim"
"assignment_dim",0,""
"assignment_override_dim",0,""
"assignment_override_user_dim",0,""
"assignment_group_dim",0,""
"course_dim",0,""
"account_dim",0,""
"course_section_dim",0,""
"enrollment_dim",0,""
"enrollment_term_dim",0,""
"group_dim",0,""
"account_dim",0,""
"wiki_dim",0,""
"course_dim",0,""
"quiz_dim",0,""
"user_dim",0,""
