"table","relation_count","related_facts"
"discussion_entry_fact",11,"discussion_entry_dim,discussion_entry_dim,user_dim,discussion_topic_dim,course_dim,enrollment_term_dim,account_dim,user_dim,assignment_dim,user_dim,enrollment_rollup_dim"
"discussion_entry_dim",0,""
"discussion_entry_dim",0,""
"user_dim",0,""
"discussion_topic_dim",0,""
"course_dim",0,""
"enrollment_term_dim",0,""
"account_dim",0,""
"user_dim",0,""
"assignment_dim",0,""
"user_dim",0,""
"enrollment_rollup_dim",0,""
