"table","relation_count","related_facts"
"module_completion_requirement_fact",16,"module_completion_requirement_dim,account_dim,assignment_dim,assignment_group_dim,course_dim,discussion_topic_dim,user_dim,enrollment_rollup_dim,enrollment_term_dim,file_dim,module_dim,module_item_dim,quiz_dim,user_dim,wiki_dim,wiki_page_dim"
"module_completion_requirement_dim",0,""
"account_dim",0,""
"assignment_dim",0,""
"assignment_group_dim",0,""
"course_dim",0,""
"discussion_topic_dim",0,""
"user_dim",0,""
"enrollment_rollup_dim",0,""
"enrollment_term_dim",0,""
"file_dim",0,""
"module_dim",0,""
"module_item_dim",0,""
"quiz_dim",0,""
"user_dim",0,""
"wiki_dim",0,""
"wiki_page_dim",0,""
