name,type,id,manager,email,fill,stroke,refs,url,image
account_dim,dimension,account_dim,,,#d5e8d4,#6c8ebf,,,
assignment_dim,dimension,assignment_dim,,,#d5e8d4,#6c8ebf,course_dim,,
assignment_fact,fact,assignment_fact,,,#dae8fc,#6c8ebf,"assignment_dim,course_dim,account_dim,enrollment_term_dim,assignment_group_dim,external_tool_activation_dim",,
assignment_group_dim,dimension,assignment_group_dim,,,#d5e8d4,#6c8ebf,course_dim,,
assignment_group_fact,fact,assignment_group_fact,,,#dae8fc,#6c8ebf,"assignment_group_dim,course_dim",,
assignment_group_rule_dim,dimension,assignment_group_rule_dim,,,#d5e8d4,#6c8ebf,,,
assignment_group_score_dim,dimension,assignment_group_score_dim,,,#d5e8d4,#6c8ebf,assignment_group_dim,,
assignment_group_score_fact,fact,assignment_group_score_fact,,,#dae8fc,#6c8ebf,"account_dim,course_dim,assignment_group_dim,enrollment_dim",,
assignment_override_dim,dimension,assignment_override_dim,,,#d5e8d4,#6c8ebf,"assignment_dim,course_section_dim,group_dim,quiz_dim",,
assignment_override_fact,fact,assignment_override_fact,,,#dae8fc,#6c8ebf,"account_dim,assignment_dim,assignment_group_dim,course_dim,course_section_dim,enrollment_term_dim,group_dim,account_dim,course_dim,quiz_dim,wiki_dim",,
assignment_override_user_dim,dimension,assignment_override_user_dim,,,#d5e8d4,#6c8ebf,"assignment_dim,assignment_override_dim,quiz_dim,user_dim",,
assignment_override_user_fact,fact,assignment_override_user_fact,,,#dae8fc,#6c8ebf,"assignment_override_user_dim,account_dim,assignment_group_dim,assignment_dim,course_dim,enrollment_term_dim,quiz_dim,user_dim",,
assignment_override_user_rollup_fact,fact,assignment_override_user_rollup_fact,,,#dae8fc,#6c8ebf,"assignment_dim,assignment_override_dim,assignment_override_user_dim,assignment_group_dim,course_dim,account_dim,course_section_dim,enrollment_dim,enrollment_term_dim,group_dim,account_dim,wiki_dim,course_dim,quiz_dim,user_dim",,
assignment_rule_dim,dimension,assignment_rule_dim,,,#d5e8d4,#6c8ebf,assignment_dim,,
catalog_applicant_dim,dimension,catalog_applicant_dim,,,#d5e8d4,#6c8ebf,"catalog_dim,catalog_product_dim,user_dim",,
catalog_dim,dimension,catalog_dim,,,#d5e8d4,#6c8ebf,catalog_dim,,
catalog_enrollment_dim,dimension,catalog_enrollment_dim,,,#d5e8d4,#6c8ebf,"catalog_product_dim,user_dim,catalog_product_dim",,
catalog_order_dim,dimension,catalog_order_dim,,,#d5e8d4,#6c8ebf,"catalog_dim,user_dim",,
catalog_order_fact,fact,catalog_order_fact,,,#dae8fc,#6c8ebf,"catalog_order_dim,catalog_dim,catalog_dim,user_dim",,
catalog_order_item_dim,dimension,catalog_order_item_dim,,,#d5e8d4,#6c8ebf,"catalog_order_dim,catalog_product_dim,catalog_promotion_dim",,
catalog_order_item_fact,fact,catalog_order_item_fact,,,#dae8fc,#6c8ebf,"catalog_order_dim,catalog_dim,catalog_dim,catalog_order_dim,catalog_product_dim,catalog_product_dim",,
catalog_payment_dim,dimension,catalog_payment_dim,,,#d5e8d4,#6c8ebf,"catalog_dim,catalog_order_dim",,
catalog_payment_fact,fact,catalog_payment_fact,,,#dae8fc,#6c8ebf,"catalog_payment_dim,catalog_dim,catalog_dim,catalog_order_dim",,
catalog_product_dim,dimension,catalog_product_dim,,,#d5e8d4,#6c8ebf,"catalog_dim,course_dim",,
catalog_product_fact,fact,catalog_product_fact,,,#dae8fc,#6c8ebf,"catalog_product_dim,catalog_dim,catalog_dim,course_dim,enrollment_term_dim",,
catalog_product_tag_dim,dimension,catalog_product_tag_dim,,,#d5e8d4,#6c8ebf,"catalog_dim,catalog_product_dim,catalog_tag_dim",,
catalog_program_requirement_fact,fact,catalog_program_requirement_fact,,,#dae8fc,#6c8ebf,"catalog_dim,catalog_product_dim,catalog_product_dim,course_dim",,
catalog_promotion_dim,dimension,catalog_promotion_dim,,,#d5e8d4,#6c8ebf,"catalog_dim,catalog_product_dim",,
catalog_promotion_fact,fact,catalog_promotion_fact,,,#dae8fc,#6c8ebf,"catalog_promotion_dim,catalog_dim,catalog_dim,catalog_product_dim",,
catalog_tag_dim,dimension,catalog_tag_dim,,,#d5e8d4,#6c8ebf,catalog_dim,,
catalog_user_registration_dim,dimension,catalog_user_registration_dim,,,#d5e8d4,#6c8ebf,"catalog_dim,user_dim",,
communication_channel_dim,dimension,communication_channel_dim,,,#d5e8d4,#6c8ebf,user_dim,,
communication_channel_fact,fact,communication_channel_fact,,,#dae8fc,#6c8ebf,"communication_channel_dim,user_dim",,
conference_dim,dimension,conference_dim,,,#d5e8d4,#6c8ebf,"group_dim,course_dim,account_dim",,
conference_fact,fact,conference_fact,,,#dae8fc,#6c8ebf,"conference_dim,group_dim,course_dim,account_dim",,
conference_participant_dim,dimension,conference_participant_dim,,,#d5e8d4,#6c8ebf,"user_dim,conference_dim",,
conference_participant_fact,fact,conference_participant_fact,,,#dae8fc,#6c8ebf,"conference_participant_dim,group_dim,course_dim,account_dim,user_dim,conference_dim",,
conversation_dim,dimension,conversation_dim,,,#d5e8d4,#6c8ebf,,,
conversation_message_dim,dimension,conversation_message_dim,,,#d5e8d4,#6c8ebf,,,
conversation_message_participant_fact,fact,conversation_message_participant_fact,,,#dae8fc,#6c8ebf,"conversation_message_dim,conversation_dim,user_dim,course_dim,enrollment_term_dim,account_dim,group_dim,account_dim,enrollment_rollup_dim",,
course_dim,dimension,course_dim,,,#d5e8d4,#6c8ebf,"account_dim,account_dim,enrollment_term_dim,wiki_dim",,
course_score_dim,dimension,course_score_dim,,,#d5e8d4,#6c8ebf,"course_dim,enrollment_term_dim,course_dim",,
course_score_fact,fact,course_score_fact,,,#dae8fc,#6c8ebf,"account_dim,course_dim,enrollment_dim",,
course_section_dim,dimension,course_section_dim,,,#d5e8d4,#6c8ebf,"course_dim,course_dim",,
course_ui_canvas_navigation_dim,dimension,course_ui_canvas_navigation_dim,,,#d5e8d4,#6c8ebf,,,
course_ui_navigation_item_dim,dimension,course_ui_navigation_item_dim,,,#d5e8d4,#6c8ebf,account_dim,,
course_ui_navigation_item_fact,fact,course_ui_navigation_item_fact,,,#dae8fc,#6c8ebf,"account_dim,course_ui_navigation_item_dim,course_ui_canvas_navigation_dim,external_tool_activation_dim,course_dim,account_dim,enrollment_term_dim",,
discussion_entry_dim,dimension,discussion_entry_dim,,,#d5e8d4,#6c8ebf,,,
discussion_entry_fact,fact,discussion_entry_fact,,,#dae8fc,#6c8ebf,"discussion_entry_dim,discussion_entry_dim,user_dim,discussion_topic_dim,course_dim,enrollment_term_dim,account_dim,user_dim,assignment_dim,user_dim,enrollment_rollup_dim",,
discussion_topic_dim,dimension,discussion_topic_dim,,,#d5e8d4,#6c8ebf,"course_dim,group_dim",,
discussion_topic_fact,fact,discussion_topic_fact,,,#dae8fc,#6c8ebf,"discussion_topic_dim,course_dim,enrollment_term_dim,account_dim,user_dim,assignment_dim,user_dim,enrollment_rollup_dim,group_dim,course_dim,account_dim,account_dim",,
enrollment_dim,dimension,enrollment_dim,,,#d5e8d4,#6c8ebf,"account_dim,course_section_dim,role_dim,course_dim,user_dim",,
enrollment_fact,fact,enrollment_fact,,,#dae8fc,#6c8ebf,"enrollment_dim,user_dim,course_dim,enrollment_term_dim,account_dim,course_section_dim",,
enrollment_rollup_dim,dimension,enrollment_rollup_dim,,,#d5e8d4,#6c8ebf,"user_dim,course_dim,enrollment_dim,enrollment_dim,enrollment_dim,enrollment_dim,enrollment_dim,enrollment_dim,enrollment_dim,enrollment_dim",,
enrollment_term_dim,dimension,enrollment_term_dim,,,#d5e8d4,#6c8ebf,account_dim,,
external_tool_activation_dim,dimension,external_tool_activation_dim,,,#d5e8d4,#6c8ebf,"course_dim,account_dim",,
external_tool_activation_fact,fact,external_tool_activation_fact,,,#dae8fc,#6c8ebf,"external_tool_activation_dim,course_dim,account_dim,account_dim,enrollment_term_dim,account_dim",,
file_dim,dimension,file_dim,,,#d5e8d4,#6c8ebf,"account_dim,assignment_dim,conversation_message_dim,course_dim,group_dim,quiz_dim,quiz_submission_dim,file_dim,file_dim,submission_dim,user_dim,user_dim",,
file_fact,fact,file_fact,,,#dae8fc,#6c8ebf,"file_dim,account_dim,assignment_dim,assignment_group_dim,conversation_dim,user_dim,conversation_message_dim,course_dim,enrollment_rollup_dim,enrollment_term_dim,file_dim,user_dim,group_dim,quiz_dim,quiz_submission_dim,file_dim,file_dim,submission_dim,user_dim,user_dim,wiki_dim",,
grading_period_dim,dimension,grading_period_dim,,,#d5e8d4,#6c8ebf,grading_period_group_dim,,
grading_period_fact,fact,grading_period_fact,,,#dae8fc,#6c8ebf,"grading_period_group_dim,account_dim,course_dim",,
grading_period_group_dim,dimension,grading_period_group_dim,,,#d5e8d4,#6c8ebf,"course_dim,account_dim",,
grading_period_score_dim,dimension,grading_period_score_dim,,,#d5e8d4,#6c8ebf,"enrollment_dim,grading_period_dim",,
grading_period_score_fact,fact,grading_period_score_fact,,,#dae8fc,#6c8ebf,"account_dim,course_dim,enrollment_dim,grading_period_dim",,
group_dim,dimension,group_dim,,,#d5e8d4,#6c8ebf,"account_dim,wiki_dim",,
group_fact,fact,group_fact,,,#dae8fc,#6c8ebf,"group_dim,course_dim,account_dim,account_dim,enrollment_term_dim,account_dim,wiki_dim",,
group_membership_dim,dimension,group_membership_dim,,,#d5e8d4,#6c8ebf,group_dim,,
group_membership_fact,fact,group_membership_fact,,,#dae8fc,#6c8ebf,"group_dim,course_dim,account_dim,account_dim,enrollment_term_dim,user_dim,group_membership_dim",,
learning_outcome_dim,dimension,learning_outcome_dim,,,#d5e8d4,#6c8ebf,"account_dim,course_dim",,
learning_outcome_fact,fact,learning_outcome_fact,,,#dae8fc,#6c8ebf,"account_dim,course_dim,enrollment_term_dim",,
learning_outcome_group_association_fact,fact,learning_outcome_group_association_fact,,,#dae8fc,#6c8ebf,"learning_outcome_dim,learning_outcome_group_dim,account_dim,course_dim,enrollment_term_dim",,
learning_outcome_group_dim,dimension,learning_outcome_group_dim,,,#d5e8d4,#6c8ebf,"account_dim,course_dim,learning_outcome_group_dim,learning_outcome_group_dim",,
learning_outcome_group_fact,fact,learning_outcome_group_fact,,,#dae8fc,#6c8ebf,"learning_outcome_group_dim,account_dim,course_dim,enrollment_term_dim,group_dim,group_dim",,
learning_outcome_question_result_dim,dimension,learning_outcome_question_result_dim,,,#d5e8d4,#6c8ebf,"learning_outcome_result_dim,learning_outcome_dim",,
learning_outcome_question_result_fact,fact,learning_outcome_question_result_fact,,,#dae8fc,#6c8ebf,"learning_outcome_question_result_dim,learning_outcome_result_dim,learning_outcome_dim,user_dim,account_dim,course_dim,enrollment_term_dim,assignment_dim,quiz_dim",,
learning_outcome_result_dim,dimension,learning_outcome_result_dim,,,#d5e8d4,#6c8ebf,"account_dim,course_dim,assignment_dim,quiz_dim,learning_outcome_dim,user_dim",,
learning_outcome_result_fact,fact,learning_outcome_result_fact,,,#dae8fc,#6c8ebf,"learning_outcome_result_dim,account_dim,course_dim,enrollment_term_dim,assignment_dim,quiz_dim,learning_outcome_dim,user_dim",,
learning_outcome_rubric_criterion_dim,dimension,learning_outcome_rubric_criterion_dim,,,#d5e8d4,#6c8ebf,learning_outcome_dim,,
learning_outcome_rubric_criterion_fact,fact,learning_outcome_rubric_criterion_fact,,,#dae8fc,#6c8ebf,"learning_outcome_rubric_criterion_dim,learning_outcome_dim,account_dim,course_dim,enrollment_term_dim",,
module_completion_requirement_dim,dimension,module_completion_requirement_dim,,,#d5e8d4,#6c8ebf,"module_dim,module_item_dim",,
module_completion_requirement_fact,fact,module_completion_requirement_fact,,,#dae8fc,#6c8ebf,"module_completion_requirement_dim,account_dim,assignment_dim,assignment_group_dim,course_dim,discussion_topic_dim,user_dim,enrollment_rollup_dim,enrollment_term_dim,file_dim,module_dim,module_item_dim,quiz_dim,user_dim,wiki_dim,wiki_page_dim",,
module_dim,dimension,module_dim,,,#d5e8d4,#6c8ebf,course_dim,,
module_fact,fact,module_fact,,,#dae8fc,#6c8ebf,"module_dim,account_dim,course_dim,enrollment_term_dim,wiki_dim",,
module_item_dim,dimension,module_item_dim,,,#d5e8d4,#6c8ebf,"assignment_dim,course_dim,discussion_topic_dim,file_dim,module_dim,quiz_dim,wiki_page_dim",,
module_item_fact,fact,module_item_fact,,,#dae8fc,#6c8ebf,"module_item_dim,account_dim,assignment_dim,assignment_group_dim,course_dim,discussion_topic_dim,user_dim,enrollment_rollup_dim,enrollment_term_dim,file_dim,module_dim,quiz_dim,user_dim,wiki_dim,wiki_page_dim",,
module_prerequisite_dim,dimension,module_prerequisite_dim,,,#d5e8d4,#6c8ebf,"module_dim,module_dim",,
module_prerequisite_fact,fact,module_prerequisite_fact,,,#dae8fc,#6c8ebf,"module_prerequisite_dim,account_dim,course_dim,enrollment_term_dim,module_dim,module_dim,wiki_dim,wiki_dim",,
module_progression_completion_requirement_dim,dimension,module_progression_completion_requirement_dim,,,#d5e8d4,#6c8ebf,"module_progression_dim,module_item_dim",,
module_progression_completion_requirement_fact,fact,module_progression_completion_requirement_fact,,,#dae8fc,#6c8ebf,"module_progression_completion_requirement_dim,account_dim,assignment_dim,assignment_group_dim,course_dim,discussion_topic_dim,user_dim,enrollment_rollup_dim,enrollment_term_dim,file_dim,module_dim,module_item_dim,module_progression_dim,quiz_dim,user_dim,wiki_dim,wiki_page_dim",,
module_progression_dim,dimension,module_progression_dim,,,#d5e8d4,#6c8ebf,"module_dim,user_dim",,
module_progression_fact,fact,module_progression_fact,,,#dae8fc,#6c8ebf,"module_progression_dim,account_dim,course_dim,enrollment_term_dim,module_dim,user_dim,wiki_dim",,
pseudonym_dim,dimension,pseudonym_dim,,,#d5e8d4,#6c8ebf,"user_dim,account_dim",,
pseudonym_fact,fact,pseudonym_fact,,,#dae8fc,#6c8ebf,"pseudonym_dim,user_dim,account_dim",,
quiz_dim,dimension,quiz_dim,,,#d5e8d4,#6c8ebf,"account_dim,course_dim,assignment_dim",,
quiz_fact,fact,quiz_fact,,,#dae8fc,#6c8ebf,"quiz_dim,course_dim,assignment_dim,account_dim,enrollment_term_dim",,
quiz_question_answer_dim,dimension,quiz_question_answer_dim,,,#d5e8d4,#6c8ebf,quiz_question_dim,,
quiz_question_answer_fact,fact,quiz_question_answer_fact,,,#dae8fc,#6c8ebf,"quiz_question_answer_dim,quiz_question_dim,quiz_question_dim,quiz_dim,course_dim,assignment_dim,account_dim,enrollment_term_dim",,
quiz_question_dim,dimension,quiz_question_dim,,,#d5e8d4,#6c8ebf,"quiz_dim,quiz_question_group_dim",,
quiz_question_fact,fact,quiz_question_fact,,,#dae8fc,#6c8ebf,"quiz_question_dim,quiz_dim,quiz_question_group_dim,course_dim,assignment_dim,account_dim,enrollment_term_dim",,
quiz_question_group_dim,dimension,quiz_question_group_dim,,,#d5e8d4,#6c8ebf,quiz_dim,,
quiz_question_group_fact,fact,quiz_question_group_fact,,,#dae8fc,#6c8ebf,"quiz_question_group_dim,quiz_dim,course_dim,assignment_dim,account_dim,enrollment_term_dim",,
quiz_submission_dim,dimension,quiz_submission_dim,,,#d5e8d4,#6c8ebf,"quiz_dim,submission_dim,user_dim",,
quiz_submission_fact,fact,quiz_submission_fact,,,#dae8fc,#6c8ebf,"course_dim,enrollment_term_dim,account_dim,quiz_dim,assignment_dim,user_dim,submission_dim,enrollment_rollup_dim,quiz_submission_dim",,
quiz_submission_historical_dim,dimension,quiz_submission_historical_dim,,,#d5e8d4,#6c8ebf,"quiz_dim,submission_dim,user_dim",,
quiz_submission_historical_fact,fact,quiz_submission_historical_fact,,,#dae8fc,#6c8ebf,"course_dim,enrollment_term_dim,account_dim,quiz_dim,assignment_dim,user_dim,submission_dim,enrollment_rollup_dim,quiz_submission_historical_dim",,
role_dim,dimension,role_dim,,,#d5e8d4,#6c8ebf,"account_dim,account_dim",,
submission_comment_dim,dimension,submission_comment_dim,,,#d5e8d4,#6c8ebf,"submission_dim,user_dim",,
submission_comment_fact,fact,submission_comment_fact,,,#dae8fc,#6c8ebf,"submission_comment_dim,submission_dim,user_dim,user_dim,assignment_dim,course_dim,enrollment_term_dim,account_dim",,
submission_dim,dimension,submission_dim,,,#d5e8d4,#6c8ebf,"assignment_dim,user_dim,group_dim,quiz_submission_dim,user_dim",,
submission_fact,fact,submission_fact,,,#dae8fc,#6c8ebf,"submission_dim,assignment_dim,course_dim,enrollment_term_dim,user_dim,user_dim,account_dim,enrollment_rollup_dim,account_dim,assignment_group_dim,group_dim,quiz_dim,quiz_submission_dim,wiki_dim",,
submission_file_fact,fact,submission_file_fact,,,#dae8fc,#6c8ebf,"file_dim,submission_dim,assignment_dim,user_dim,user_dim,course_dim,enrollment_term_dim",,
user_dim,dimension,user_dim,,,#d5e8d4,#6c8ebf,account_dim,,
wiki_dim,dimension,wiki_dim,,,#d5e8d4,#6c8ebf,,,
wiki_fact,fact,wiki_fact,,,#dae8fc,#6c8ebf,"wiki_dim,course_dim,group_dim,account_dim,account_dim,account_dim,account_dim,enrollment_term_dim",,
wiki_page_dim,dimension,wiki_page_dim,,,#d5e8d4,#6c8ebf,,,
wiki_page_fact,fact,wiki_page_fact,,,#dae8fc,#6c8ebf,"wiki_page_dim,wiki_dim,course_dim,group_dim,account_dim,account_dim,user_dim,account_dim,account_dim,enrollment_term_dim",,
requests,fact,requests,,,#dae8fc,#6c8ebf,"user_dim,course_dim,account_dim,quiz_dim,discussion_topic_dim,conversation_dim,assignment_dim,user_dim",,
